snapshot,2035,2040,2045
2019-12-11 05:00:00,91.22616526313864,81.4952092826473,74.21028545792112
2019-12-11 06:00:00,96.27858844874405,84.72009342656926,76.2784783184532
2019-12-11 07:00:00,98.97515599049528,85.39531983819101,76.99668498318793
2019-12-11 08:00:00,101.67172353224652,86.07054624981276,77.71489164792268
2019-12-11 09:00:00,104.36829107399775,86.74577266143451,78.43309831265742
2019-12-11 10:00:00,113.85088236043015,88.0038555974452,79.86189061691988
2019-12-11 11:00:00,123.33347364686254,89.26193853345586,81.29068292118235
2019-12-11 12:00:00,132.81606493329494,90.52002146946654,82.71947522544481
2019-12-11 13:00:00,135.3763804919462,91.08763696959369,83.42551310350979
2019-12-11 14:00:00,137.93669605059745,91.65525246972085,84.13155098157476
2019-12-11 15:00:00,140.49701160924872,92.222867969848,84.83758885963974
2019-12-11 16:00:00,140.518963227578,92.27583551272018,84.94396570109792
2019-12-11 17:00:00,140.54091484590734,92.32880305559237,85.05034254255612
2019-12-11 18:00:00,140.56286646423663,92.38177059846456,85.15671938401431
2019-12-11 19:00:00,140.43153611987998,92.29876564867938,85.0947405017453
2019-12-11 20:00:00,140.3002057755233,92.2157606988942,85.0327616194763
2019-12-11 21:00:00,140.16887543116664,92.13275574910902,84.9707827372073
2019-12-11 22:00:00,140.10715784911474,92.12874249698947,84.86122864542962
2019-12-11 23:00:00,140.04544026706284,92.12472924486991,84.75167455365194
2019-12-12 00:00:00,139.98372268501095,92.12071599275036,84.64212046187426
2019-12-12 01:00:00,139.95769987374143,92.133736437289,84.82467292493628
2019-12-12 02:00:00,139.93167706247192,92.14675688182764,85.00722538799832
2019-12-12 03:00:00,139.9056542512024,92.15977732636628,85.18977785106034
2019-12-12 04:00:00,140.08090165664208,92.13506512042949,85.12255441729349
2019-12-12 05:00:00,140.25614906208176,92.11035291449268,85.05533098352662
2019-12-12 06:00:00,140.43139646752144,92.08564070855589,84.98810754975976
2019-12-12 07:00:00,126.67079195947301,90.0596163892126,82.85582178437575
2019-12-12 08:00:00,112.91018745142459,88.0335920698693,80.72353601899175
2019-12-12 09:00:00,99.14958294337616,86.00756775052601,78.59125025360774
2019-12-12 10:00:00,98.82416262656926,85.91486393109992,78.39187681202996
2019-12-12 11:00:00,98.49874230976238,85.82216011167382,78.19250337045217
2019-12-12 12:00:00,98.17332199295548,85.72945629224773,77.9931299288744
2019-12-12 13:00:00,98.37486048049199,86.04068281289533,78.7758633417197
2019-12-12 14:00:00,98.57639896802849,86.35190933354292,79.55859675456499
